task_complexity_score,brief_quality_score,scope_change_flag,sla_days,sla_breach,hours_spent,billable_hours,ai_usage_pct,ai_assisted,revisions,errors,rework_hours,outcome_score,revenue,cost,profit,rework_ratio,cost_ratio,efficiency,delivery_time,ai_complexity,error_rate,revisions_rate,profit_margin,profit_per_hour,revenue_per_hour,is_loss,sla_ratio,outcome_norm,rework_norm,quality_index,sla_ratio_norm,speed_index,client_Client_B,client_Client_C,client_Client_D,client_Client_E,client_Client_F,client_Client_G,client_Client_H,client_Client_I,client_Client_J,client_Client_K,client_Client_L,client_Client_M,client_Client_N,client_Client_O,client_Client_P,client_Client_Q,client_Client_R,client_Client_S,client_Client_T,client_Client_U,client_Client_V,client_Client_W,client_Client_X,client_Client_Y,client_Client_Z,client_Client_[,client_Client_\,client_tier_low,client_tier_mid,team_design,team_media,team_seo,task_type_article,task_type_design,task_type_development,task_type_release,task_type_report,task_type_ticket,seniority_mid,seniority_senior,deadline_pressure_low,deadline_pressure_medium,pricing_model_hourly,pricing_model_value_based,task_status_blocked,task_status_delivered,task_status_draft,task_status_in_progress,task_status_review,workflow_stage_client_review,workflow_stage_execution,workflow_stage_finalized,workflow_stage_qa,legacy_ai_flag_true,legacy_ai_flag_unknown,content_version_v1,content_version_v2,content_version_v3,content_version_v4,ai_group_15-30%,ai_group_30-50%,ai_group_50-75%,ai_group_75-100%
2,3.0,0,10.0,0,7.63,5.14,0.75,1,1,1,2.1,69.93,498.11,346.17,151.94,0.27522935779816515,0.6949669751661279,0.673656618610747,8,1.5,0.1310615989515072,0.1310615989515072,0.305033024833872,19.913499344692006,65.28309305373526,0,0.8,0.6695604395604396,0.0006324582019237174,0.6689279813585159,0.14545454545454548,0.8545454545454545,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False,True,False
1,2.0,0,7.0,0,9.52,8.22,0.0,0,1,1,4.48,82.79,847.01,343.18,503.83,0.4705882352941177,0.4051664088971795,0.8634453781512607,2,0.12,0.10504201680672269,0.10504201680672269,0.5948335911028205,52.92331932773109,88.97163865546219,0,0.2857142857142857,0.810879120879121,0.0010813795138774147,0.8097977413652435,0.051948051948051945,0.948051948051948,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
3,4.0,0,5.0,1,8.45,6.15,0.37,1,2,0,2.71,76.4,1374.07,365.02,1009.05,0.3207100591715977,0.2656487660745086,0.727810650887574,7,1.1099999999999999,0.0,0.2366863905325444,0.7343512339254914,119.41420118343196,162.61183431952662,0,1.4,0.7406593406593407,0.0007369697367504808,0.7399223709225902,0.2545454545454545,0.7454545454545455,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,True,False,False
3,2.0,0,3.0,0,28.35,24.22,0.0,0,4,1,0.0,69.4,2379.11,1514.73,864.3800000000001,0.0,0.6366792624132553,0.8543209876543209,6,0.21000000000000002,0.03527336860670194,0.14109347442680775,0.36332073758674466,30.489594356261026,83.91922398589065,0,2.0,0.6637362637362638,0.0,0.6637362637362638,0.36363636363636365,0.6363636363636364,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2,5.0,0,7.0,0,5.93,4.44,0.2,1,2,2,0.84,69.4,709.95,335.27,374.68000000000006,0.14165261382799327,0.4722445242622719,0.748735244519393,7,0.4,0.3372681281618887,0.3372681281618887,0.5277554757377281,63.183811129848245,119.72175379426646,0,1.0,0.6637362637362638,0.0003255079986966586,0.6634107557375671,0.18181818181818182,0.8181818181818181,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False
1,2.0,0,2.0,0,5.72,5.03,0.43,1,3,0,3.57,58.52,412.26,227.78,184.48,0.6241258741258742,0.5525154029010818,0.8793706293706295,3,0.43,0.0,0.5244755244755245,0.44748459709891814,32.25174825174825,72.07342657342657,0,1.5,0.5441758241758242,0.0014341984855161779,0.542741625690308,0.2727272727272727,0.7272727272727273,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False
3,2.0,0,3.0,0,13.83,11.5,0.58,1,3,2,4.51,56.55,1523.0,744.12,778.88,0.3261026753434562,0.4885883125410374,0.8315256688358641,4,1.7399999999999998,0.14461315979754158,0.21691973969631237,0.5114116874589626,56.31814895155459,110.1229211858279,0,1.3333333333333333,0.5225274725274724,0.000749361599141191,0.5217781109283313,0.2424242424242424,0.7575757575757576,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False
4,4.0,0,7.0,0,8.83,5.19,0.27,1,5,0,3.05,89.39,1540.97,311.76,1229.21,0.3454133635334088,0.20231412681622613,0.5877689694224236,4,1.08,0.0,0.5662514156285391,0.7976858731837738,139.2083805209513,174.51528878822197,0,0.5714285714285714,0.8834065934065934,0.0007937362371821056,0.8826128571694113,0.10389610389610389,0.8961038961038961,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False
3,3.0,0,3.0,1,8.8,7.39,0.4,1,1,0,1.86,93.27,1040.82,568.06,472.76,0.21136363636363636,0.545781210968275,0.8397727272727271,7,1.2000000000000002,0.0,0.11363636363636363,0.454218789031725,53.72272727272727,118.27499999999998,0,2.3333333333333335,0.926043956043956,0.00048569915097732745,0.9255582568929787,0.42424242424242425,0.5757575757575757,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False
2,4.0,0,2.0,0,12.67,9.38,0.4,1,2,1,0.87,77.21,283.23,516.59,-233.36,0.06866614048934491,1.823924019348233,0.7403314917127073,8,0.8,0.07892659826361484,0.15785319652722968,-0.8239240193482329,-18.418310970797158,22.354380426203633,1,4.0,0.7495604395604395,0.0001577900849471879,0.7494026494754923,0.7272727272727273,0.2727272727272727,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
